date,EthiopiaArrivals,karéta,hotél,Addis,harga,amniga,tigidhada,xadka,wadada tareenka,bas,haajiraan,shaqada,qaxooti,gaadiid,isukeenid,xorriyadda,waxbarasho,lacag,Itoobiya,carruurta,tareenada,hoteelo,Addis_SO,qiimaha
2017-02-28,9834,0.0,0.0,28.5,0.0,13.25,0.0,0.0,0.0,33.5,0.0,24.5,9.25,0.0,0.0,0.0,15.25,14.0,19.0,0.0,0.0,0.0,12.5,11.0
2017-03-31,20515,0.0,0.0,30.5,0.0,12.75,0.0,12.75,0.0,24.75,0.0,17.5,13.0,0.0,0.0,0.0,15.5,15.5,16.75,0.0,0.0,0.0,12.5,7.0
2017-04-30,10797,0.0,0.0,14.8,0.0,22.6,0.0,10.2,0.0,34.2,0.0,21.8,0.0,0.0,0.0,0.0,16.2,12.8,17.4,0.0,0.0,0.0,9.0,8.8
2017-05-31,4876,0.0,0.0,19.25,0.0,21.0,0.0,0.0,0.0,23.5,0.0,23.5,9.25,0.0,0.0,0.0,5.5,7.75,19.0,0.0,0.0,0.0,18.0,8.0
2017-06-30,6184,0.0,0.0,25.75,0.0,29.5,0.0,0.0,0.0,7.5,0.0,7.5,0.0,0.0,0.0,0.0,12.75,18.0,18.5,0.0,0.0,0.0,10.0,12.75
2017-07-31,3311,0.0,0.0,20.8,0.0,10.2,0.0,0.0,0.0,17.8,0.0,9.4,0.0,0.0,0.0,0.0,16.2,14.4,11.0,0.0,0.0,0.0,5.8,1.8
2017-08-31,9288,0.0,0.0,10.0,0.0,13.5,0.0,0.0,0.0,19.0,0.0,15.5,0.0,0.0,0.0,0.0,14.25,12.25,14.5,0.0,0.0,0.0,17.0,7.25
2017-09-30,27144,0.0,0.0,18.75,0.0,18.5,0.0,9.5,0.0,9.25,0.0,25.75,6.25,0.0,0.0,0.0,14.0,7.0,24.0,0.0,0.0,0.0,18.5,7.0
2017-10-31,3229,0.0,0.0,20.0,0.0,14.4,0.0,0.0,0.0,7.4,0.0,15.6,0.0,0.0,0.0,0.0,10.2,10.0,18.0,0.0,0.0,0.0,18.0,5.6
2017-11-30,2829,0.0,0.0,10.5,0.0,26.75,0.0,0.0,0.0,0.0,0.0,27.5,0.0,0.0,0.0,0.0,14.75,16.25,11.25,0.0,0.0,0.0,29.5,9.5
2017-12-31,3759,0.0,0.0,40.2,0.0,13.6,0.0,13.6,0.0,6.8,0.0,32.6,0.0,0.0,0.0,0.0,17.2,12.2,23.6,0.0,0.0,0.0,18.8,9.8
2018-01-31,7895,0.0,0.0,23.5,0.0,23.75,0.0,7.75,0.0,23.0,0.0,16.0,5.5,0.0,0.0,0.0,10.25,9.75,15.75,0.0,0.0,0.0,15.75,14.5
2018-02-28,7202,0.0,0.0,38.75,0.0,0.0,0.0,0.0,0.0,15.5,0.0,16.25,0.0,0.0,0.0,0.0,12.0,13.5,27.5,0.0,0.0,0.0,15.5,2.75
2018-03-31,6996,0.0,0.0,29.25,0.0,23.0,0.0,7.75,0.0,7.75,0.0,24.0,0.0,0.0,0.0,0.0,13.0,11.5,26.25,0.0,0.0,0.0,11.0,14.0
2018-04-30,2682,0.0,0.0,8.2,0.0,23.4,0.0,0.0,0.0,12.8,0.0,20.8,0.0,0.0,0.0,0.0,12.8,18.8,24.0,0.0,0.0,0.0,15.6,7.2
2018-05-31,4436,0.0,0.0,34.5,0.0,17.25,0.0,18.0,0.0,8.75,0.0,18.75,0.0,0.0,0.0,0.0,10.25,15.75,20.0,0.0,0.0,0.0,19.75,8.25
2018-06-30,3266,0.0,0.0,22.0,0.0,24.0,0.0,8.75,0.0,16.5,0.0,11.25,0.0,0.0,0.0,0.0,12.0,12.25,30.25,0.0,0.0,0.0,22.5,7.5
2018-07-31,3667,0.0,0.0,30.2,0.0,26.4,0.0,6.0,0.0,17.8,0.0,23.8,8.2,0.0,0.0,0.0,13.2,9.6,25.0,0.0,0.0,0.0,17.6,14.0
2018-08-31,38798,0.0,0.0,20.0,0.0,7.25,0.0,0.0,0.0,0.0,0.0,15.25,0.0,0.0,0.0,0.0,12.25,11.25,50.5,0.0,0.0,0.0,21.75,5.75
2018-09-30,0,0.0,0.0,13.2,0.0,5.8,0.0,6.0,0.0,12.2,0.0,19.0,0.0,0.0,0.0,0.0,10.0,11.2,14.0,0.0,0.0,0.0,21.6,11.0
2018-10-31,0,0.0,0.0,21.5,0.0,26.5,0.0,7.75,0.0,7.75,0.0,10.5,5.25,0.0,0.0,0.0,19.75,12.0,13.5,0.0,0.0,0.0,19.5,5.5
2018-11-30,0,0.0,0.0,22.25,0.0,0.0,0.0,0.0,0.0,23.0,0.0,15.75,0.0,0.0,0.0,0.0,14.0,13.75,25.75,0.0,0.0,0.0,26.5,11.25
2018-12-31,0,0.0,0.0,17.8,0.0,19.4,0.0,5.8,0.0,11.6,0.0,20.2,0.0,0.0,0.0,0.0,13.4,8.8,15.4,0.0,0.0,0.0,16.2,8.6
2019-01-31,6203,0.0,0.0,16.75,0.0,14.75,0.0,0.0,0.0,15.0,0.0,28.75,0.0,0.0,0.0,0.0,17.0,7.0,10.75,0.0,0.0,0.0,27.5,8.25
2019-02-28,6261,0.0,0.0,28.75,0.0,21.75,0.0,0.0,0.0,0.0,0.0,18.25,0.0,0.0,0.0,0.0,9.5,9.5,17.0,0.0,0.0,0.0,17.0,13.25
2019-03-31,8910,0.0,0.0,13.4,0.0,11.8,0.0,0.0,0.0,6.2,0.0,26.0,0.0,0.0,0.0,0.0,9.2,4.6,12.0,0.0,0.0,0.0,16.0,8.2
2019-04-30,6996,0.0,0.0,23.0,0.0,16.75,0.0,0.0,0.0,25.25,0.0,23.25,0.0,0.0,0.0,0.0,22.0,12.75,14.5,0.0,0.0,0.0,17.75,19.0
2019-05-31,6744,0.0,0.0,27.5,0.0,8.75,0.0,0.0,0.0,17.25,0.0,26.0,0.0,0.0,0.0,0.0,6.5,11.75,12.75,0.0,0.0,0.0,28.75,20.0
2019-06-30,11241,0.0,0.0,4.6,0.0,15.6,0.0,10.6,0.0,5.0,0.0,11.6,3.6,0.0,0.0,0.0,8.6,14.4,16.0,0.0,0.0,0.0,19.6,8.2
2019-07-31,11079,0.0,0.0,28.25,0.0,14.25,0.0,0.0,0.0,14.25,0.0,9.5,5.0,0.0,0.0,0.0,16.25,5.25,13.5,0.0,0.0,0.0,19.25,11.75
2019-08-31,7966,0.0,0.0,5.25,0.0,28.25,0.0,7.0,0.0,27.75,0.0,14.5,4.75,0.0,0.0,0.0,17.25,9.0,14.75,0.0,0.0,0.0,20.75,7.75
2019-09-30,7456,0.0,0.0,17.8,0.0,6.0,0.0,6.0,0.0,18.0,0.0,12.4,0.0,0.0,0.0,0.0,18.6,17.4,13.2,0.0,0.0,0.0,34.6,0.0
2019-10-31,7947,0.0,0.0,19.25,0.0,25.75,0.0,25.5,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,17.75,5.25,14.0,0.0,0.0,0.0,29.25,11.0
2019-11-30,7268,0.0,0.0,35.25,0.0,7.0,0.0,7.0,0.0,7.0,0.0,18.75,0.0,0.0,0.0,0.0,12.0,7.75,17.25,0.0,0.0,0.0,15.0,7.5
2019-12-31,8705,0.0,0.0,9.0,0.0,0.0,0.0,5.0,0.0,20.4,0.0,29.8,0.0,0.0,0.0,0.0,8.2,16.2,9.8,0.0,0.0,0.0,16.0,4.8
2020-01-31,4976,0.0,0.0,8.25,0.0,6.25,0.0,0.0,0.0,18.25,0.0,8.5,0.0,0.0,0.0,0.0,10.0,12.75,11.75,0.0,0.0,0.0,22.5,10.0
2020-02-29,3165,0.0,0.0,25.0,0.0,0.0,0.0,6.0,0.0,12.25,0.0,14.75,0.0,0.0,0.0,0.0,8.5,7.0,9.25,0.0,0.0,0.0,24.5,4.5
2020-03-31,1783,0.0,0.0,14.4,0.0,13.4,0.0,5.0,0.0,26.4,0.0,23.8,0.0,0.0,0.0,0.0,14.2,7.8,11.4,0.0,0.0,0.0,20.8,9.8
2020-04-30,0,0.0,0.0,20.25,0.0,0.0,0.0,14.5,0.0,14.25,0.0,14.5,0.0,0.0,0.0,0.0,10.75,10.0,6.75,0.0,0.0,0.0,15.75,13.25
2020-05-31,0,0.0,0.0,13.8,0.0,11.2,0.0,6.4,0.0,14.2,0.0,7.4,4.4,0.0,0.0,0.0,6.8,10.8,10.8,0.0,0.0,0.0,16.8,19.4
